% Model:              Piano Soundboard.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 26 2022, 11:38
% Table:              Table 1 - Global Evaluation 1
% test_x (m)                                      test_y (m)                                        freq (Hz)                                         Z_in (s/kg)                                       Impedance (1)
0.3400000000000001                                0.18571428571428572                               783.99                                            203.49272668735202                                5.258269529972898E9-1.3994573988705496E10i
0.3400000000000001                                0.2714285714285714                                349.23                                            199.87093130425836                                8.70197951422336E9-4.620320678999523E9i
0.3400000000000001                                0.2714285714285714                                440                                               194.79626172687313                                4.1916443571337366E8-5.477027912127309E9i
0.3400000000000001                                0.2714285714285714                                523.25                                            188.60774948751188                                2.254538907968692E9-1.474568473490788E9i
0.3400000000000001                                0.2714285714285714                                659.25                                            193.55320789243802                                4.120231012556858E9+2.38471661415726E9i
0.3400000000000001                                0.2714285714285714                                783.99                                            199.3215613436166                                 8.875638412104767E9-2.6000885221166983E9i
0.3400000000000001                                0.3571428571428571                                349.23                                            181.33804160501097                                4.618478981153037E8-1.0712270599368736E9i
0.3400000000000001                                0.3571428571428571                                440                                               198.99310235877476                                4.827377915591439E9+7.4835277530271225E9i
0.3400000000000001                                0.3571428571428571                                523.25                                            202.29857406196822                                1.272349019358975E10-2.8073853524958854E9i
0.3400000000000001                                0.3571428571428571                                659.25                                            200.00149858812375                                4.699214227826811E9-8.82903719902856E9i
0.3400000000000001                                0.3571428571428571                                783.99                                            200.7692073008178                                 1.0187427203975311E10-3.9488411013430166E9i
0.3400000000000001                                0.44285714285714284                               349.23                                            190.84013273454687                                2.2282936385930767E9+2.677492637095115E9i
0.3400000000000001                                0.44285714285714284                               440                                               191.68186774790126                                1.9561517479407468E9+3.301958301316419E9i
0.3400000000000001                                0.44285714285714284                               523.25                                            207.12103145028965                                1.9486675251386806E10-1.1645622081720776E10i
0.3400000000000001                                0.44285714285714284                               659.25                                            191.19523471658815                                3.5395972423825808E9-7.996012423232067E8i
0.3400000000000001                                0.44285714285714284                               783.99                                            199.20285442225284                                7.817996840153932E9-4.702125963624552E9i
0.3400000000000001                                0.5285714285714285                                349.23                                            189.57733699457106                                9.402698632046561E8-2.8615612909027348E9i
0.3400000000000001                                0.5285714285714285                                440                                               200.3386774669747                                 2.9540260754337626E9-9.969162340829264E9i
0.3400000000000001                                0.5285714285714285                                523.25                                            194.53921679405173                                2.0663182294911897E9-4.916280180687959E9i
0.3400000000000001                                0.5285714285714285                                659.25                                            191.5050530384405                                 1.1488271115292485E9-3.5807843030790725E9i
0.3400000000000001                                0.5285714285714285                                783.99                                            195.36302095598865                                5.761551178385113E9-1.0882228823121161E9i
0.3400000000000001                                0.6142857142857142                                349.23                                            197.41221432416438                                6.905991365200782E9+2.723259798621186E9i
0.3400000000000001                                0.6142857142857142                                440                                               200.3837457341123                                 2.7291669984792924E9-1.008909594924411E10i
0.3400000000000001                                0.6142857142857142                                523.25                                            202.2105621103424                                 9.607078960604502E9-8.606208801772942E9i
0.3400000000000001                                0.6142857142857142                                659.25                                            194.69500207762084                                6.975234693375921E8-5.384385747495535E9i
0.3400000000000001                                0.6142857142857142                                783.99                                            199.57749520539983                                6.915838976034348E9-6.549876395607449E9i
0.3400000000000001                                0.6999999999999998                                349.23                                            198.13847203011701                                7.907734031682512E9+1.6148250081496491E9i
0.3400000000000001                                0.6999999999999998                                440                                               205.4872171540295                                 1.1396368618038946E10-1.4963066657073938E10i
0.3400000000000001                                0.6999999999999998                                523.25                                            203.6751016545125                                 1.1617685856740002E10-9.905157369980724E9i
0.3400000000000001                                0.6999999999999998                                659.25                                            188.06498228145762                                6.807318474622743E8-2.4374773511440835E9i
0.3400000000000001                                0.6999999999999998                                783.99                                            194.63151596475765                                4.923791315788515E9+2.1924060490768943E9i
0.42000000000000004                               0.1                                               349.23                                            187.45158656963366                                1.563160370548207E9-1.7656736492128675E9i
0.42000000000000004                               0.1                                               440                                               181.15615894854264                                4.5869765991613525E8-1.0462373691771817E9i
0.42000000000000004                               0.1                                               523.25                                            199.73989518199167                                6.054790174306979E9+7.584602979183689E9i
0.42000000000000004                               0.1                                               659.25                                            200.14939987545486                                3.2012363650181036E9-9.656707482646181E9i
0.42000000000000004                               0.1                                               783.99                                            202.88804828566833                                9.464679413201254E9-1.0240529632487942E10i
0.42000000000000004                               0.18571428571428572                               349.23                                            186.61830564653232                                9.545196105302638E8-1.918093136157929E9i
0.42000000000000004                               0.18571428571428572                               440                                               177.52920909023243                                7.497772869487956E8-6.300951093958034E7i
0.42000000000000004                               0.18571428571428572                               523.25                                            197.6424304948831                                 5.985146326573484E9-4.720908421222447E9i
0.42000000000000004                               0.18571428571428572                               659.25                                            198.11506950765107                                4.381939031714942E9-6.751922451035046E9i
0.42000000000000004                               0.18571428571428572                               783.99                                            199.17527360508885                                3.7631020598968368E9-8.279083520133009E9i
0.42000000000000004                               0.2714285714285714                                349.23                                            192.89895844348757                                1.202621825450891E9-4.248231519650387E9i
0.42000000000000004                               0.2714285714285714                                440                                               191.611923393687                                  4.451890631554968E8-3.7809976121254244E9i
0.42000000000000004                               0.2714285714285714                                523.25                                            191.53478544239996                                3.5398177823742447E9-1.3071568607986925E9i
0.42000000000000004                               0.2714285714285714                                659.25                                            190.5721763807684                                 9.083694510826067E8+3.2531643647219343E9i
0.42000000000000004                               0.2714285714285714                                783.99                                            202.02354524557305                                8.040765600015736E9-9.731237844716084E9i
0.42000000000000004                               0.3571428571428571                                349.23                                            187.89287035969403                                2.287243170021752E9+9.614336214055731E8i
0.42000000000000004                               0.3571428571428571                                440                                               181.94888098645905                                1.1857945092667234E9+4.0029840254467314E8i
0.42000000000000004                               0.3571428571428571                                523.25                                            185.6690270387686                                 1.6086706844906876E9+1.0493464999861989E9i
0.42000000000000004                               0.3571428571428571                                659.25                                            186.18264954917913                                8.806636335383812E8+1.8375266855417216E9i
0.42000000000000004                               0.3571428571428571                                783.99                                            204.41993210492143                                9.359164998380013E9-1.3751213380356342E10i
0.42000000000000004                               0.44285714285714284                               349.23                                            211.56482453015784                                3.1193698379646133E10+2.1464691161817154E10i
0.42000000000000004                               0.44285714285714284                               440                                               192.96432137732003                                2.3369534129768643E9+3.785237965434095E9i
0.42000000000000004                               0.44285714285714284                               523.25                                            205.75322695534936                                1.5779919518656517E10-1.1274347342156698E10i
0.42000000000000004                               0.44285714285714284                               659.25                                            203.03411629855896                                1.0697428674357237E10+9.309393947629293E9i
0.42000000000000004                               0.44285714285714284                               783.99                                            200.05780487471588                                2.378228969144059E9-9.78181633031069E9i
0.42000000000000004                               0.5285714285714285                                349.23                                            186.1556856888826                                 7.057320340164678E8-1.9048139308919542E9i
0.42000000000000004                               0.5285714285714285                                440                                               194.16389839838885                                5.2875680988153946E8-5.079897252887483E9i
0.42000000000000004                               0.5285714285714285                                523.25                                            184.69132901010744                                5.542572118448682E8+1.62422958801784E9i
0.42000000000000004                               0.5285714285714285                                659.25                                            199.36612728178497                                1.9015688541288762E9-9.099655525581882E9i
0.42000000000000004                               0.5285714285714285                                783.99                                            198.1829332348232                                 1.5722639363679218E9-7.958530216917214E9i
0.42000000000000004                               0.6142857142857142                                349.23                                            191.7786311030945                                 3.6052540631374383E9+1.4364768437185495E9i
0.42000000000000004                               0.6142857142857142                                440                                               196.69000923786786                                1.2223071774892082E9-6.72101201147578E9i
0.42000000000000004                               0.6142857142857142                                523.25                                            197.02852664002955                                3.947549106347665E9+5.904732669088011E9i
0.42000000000000004                               0.6142857142857142                                659.25                                            207.61259214617456                                1.1274345346466253E10-2.121320235443594E10i
0.42000000000000004                               0.6142857142857142                                783.99                                            208.8678778966036                                 1.6817677517024715E10-2.2083763167288345E10i
0.42000000000000004                               0.6999999999999998                                349.23                                            193.35343893873846                                4.620552193200461E9-5.429685311187477E8i
0.42000000000000004                               0.6999999999999998                                440                                               196.29752829275523                                8.099863761652824E8-6.479012491766243E9i
0.42000000000000004                               0.6999999999999998                                523.25                                            202.63577271002055                                6.570548711478624E9-1.1844958754637218E10i
0.42000000000000004                               0.6999999999999998                                659.25                                            212.8311919569089                                 3.768817251221952E10+2.2333765021585667E10i
0.42000000000000004                               0.6999999999999998                                783.99                                            200.30779589359284                                9.101386853932995E9+4.950677317755061E9i
0.5000000000000001                                0.1                                               349.23                                            190.85539765581797                                8.302446959857494E8-3.3893478120728083E9i
0.5000000000000001                                0.1                                               440                                               194.2317981867857                                 8.090937729298904E8-5.083437516091873E9i
0.5000000000000001                                0.1                                               523.25                                            193.79517433217666                                1.4521585517735927E9-4.674711207767412E9i
0.5000000000000001                                0.1                                               659.25                                            198.39900385000027                                1.1376361980369475E9-8.238508003654073E9i
0.5000000000000001                                0.1                                               783.99                                            189.97482888590392                                3.0425976110936246E9+8.275317401802374E8i
0.5000000000000001                                0.18571428571428572                               349.23                                            187.3785220094263                                 1.3810707278949244E9-1.8870458356950307E9i
0.5000000000000001                                0.18571428571428572                               440                                               192.78402865451966                                2.5700412970853553E9-3.518458406357805E9i
0.5000000000000001                                0.18571428571428572                               523.25                                            197.4447579627765                                 4.321789706381613E9-6.070049503877919E9i
0.5000000000000001                                0.18571428571428572                               659.25                                            191.28096940487296                                3.3990996132864685E9+1.3699521891310258E9i
0.5000000000000001                                0.18571428571428572                               783.99                                            211.76477272382087                                3.787217258655857E10-8.187330398747107E9i
0.5000000000000001                                0.2714285714285714                                349.23                                            198.1516423953218                                 2.70845477166433E9-7.615906543731065E9i
0.5000000000000001                                0.2714285714285714                                440                                               195.08170589290907                                1.6730578349231098E9-5.42440965635419E9i
0.5000000000000001                                0.2714285714285714                                523.25                                            185.82981750397178                                1.7840136589558358E9-8.033566041387507E8i
0.5000000000000001                                0.2714285714285714                                659.25                                            175.88300735426674                                6.067237822506733E8-1.3932750525824767E8i
0.5000000000000001                                0.2714285714285714                                783.99                                            198.755151822372                                  8.471192225061334E9-1.821354516134683E9i
0.5000000000000001                                0.3571428571428571                                349.23                                            190.9862882817972                                 2.8218177147126317E9+2.1417082641417708E9i
0.5000000000000001                                0.3571428571428571                                440                                               203.07146727674385                                7.460569690764278E9-1.2131640007647375E10i
0.5000000000000001                                0.3571428571428571                                523.25                                            209.64583146733054                                3.0142768250535034E10+3.619371924074824E9i
0.5000000000000001                                0.3571428571428571                                659.25                                            200.2807955113922                                 4.42861506640735E9-9.33094420172537E9i
0.5000000000000001                                0.3571428571428571                                783.99                                            192.34026325448895                                3.6614196167096686E9+1.9325160903225992E9i
0.5000000000000001                                0.44285714285714284                               349.23                                            198.0669908267223                                 7.57283260883676E9+2.593983558013526E9i
0.5000000000000001                                0.44285714285714284                               440                                               196.8845224482874                                 1.7533104083682292E9+6.762362455246095E9i
0.5000000000000001                                0.44285714285714284                               523.25                                            197.5470241475628                                 1.118312254101981E9-7.456252776178231E9i
0.5000000000000001                                0.44285714285714284                               659.25                                            190.87292100316134                                3.329235495790438E8-3.4807152896166625E9i
0.5000000000000001                                0.44285714285714284                               783.99                                            188.2837574566609                                 2.5949574827901607E9+4.227584601165695E7i
0.5000000000000001                                0.5285714285714285                                349.23                                            193.0334263522789                                 3.251080003217083E9-3.088246082470639E9i
0.5000000000000001                                0.5285714285714285                                440                                               202.36820486210738                                5.026463932770071E9-1.2134542739337446E10i
0.5000000000000001                                0.5285714285714285                                523.25                                            198.5994675041461                                 1.6941892909828684E9+8.340529765294891E9i
0.5000000000000001                                0.5285714285714285                                659.25                                            189.9565273066862                                 2.5099712751067498E8-3.1364630071436987E9i
0.5000000000000001                                0.5285714285714285                                783.99                                            196.3569347343045                                 6.559880548009093E9-4.345504479934716E8i
0.5000000000000001                                0.6142857142857142                                349.23                                            191.9485576253904                                 3.907330734218458E9+6.285496162501377E8i
0.5000000000000001                                0.6142857142857142                                440                                               206.6036438122419                                 4.770922033706317E9-2.0849704052222797E10i
0.5000000000000001                                0.6142857142857142                                523.25                                            208.39920481610437                                2.5924043750231945E10+4.432636391796328E9i
0.5000000000000001                                0.6142857142857142                                659.25                                            197.49359186438963                                1.7302193729473367E9-7.290923096782087E9i
0.5000000000000001                                0.6142857142857142                                783.99                                            206.76567884016808                                2.0846001582389095E10+6.348758014094201E9i
0.5000000000000001                                0.6999999999999998                                349.23                                            193.1717713866068                                 1.0073321007753627E9-4.4432963024265785E9i
0.5000000000000001                                0.6999999999999998                                440                                               207.1840756667844                                 9.847271944986649E9-2.063777848240003E10i
0.5000000000000001                                0.6999999999999998                                523.25                                            194.9211575146174                                 5.054059362853675E8-5.549633891663576E9i
0.5000000000000001                                0.6999999999999998                                659.25                                            196.44426960221497                                7.574445091137576E8-6.59735529975482E9i
0.5000000000000001                                0.6999999999999998                                783.99                                            185.65148634807025                                1.7362047345381017E9+8.122027718365813E8i
